経費科目,OK な例,NG な例,注意点・按分の目安
旅費交通費,仕事の電車・タクシー・宿泊,プライベート旅行,出張記録（日付・行先・目的）を残す
通信費,仕事用スマホ・ネット回線,100%家庭用通信費,事業使用率で按分（30〜70%目安）
接待交際費,取引先との会食・贈答,友人との飲み会,相手の名前・社名・目的を記録
消耗品費,文具・USBメモリ・PC周辺機器,10万円以上のPC,10万円超は減価償却の対象
新聞図書費,仕事関連の本・有料記事・新聞,漫画・小説・雑誌（業務外）,レシート・購入記録を保存
会議費,打ち合わせのカフェ代・会議室代,プライベート利用,1人5,000円以下を目安に
広告宣伝費,SNS広告・名刺・LP制作費・ロゴ作成,私的なプレゼント,業務との関連性を記録
支払手数料,振込手数料・プラットフォーム手数料,個人銀行の私的手数料,事業用口座と個人口座を分ける
地代家賃,事務所家賃・コワーキング・会議室代,全額自宅家賃,自宅は事業使用率（20〜30%目安）で按分
水道光熱費,自宅作業の電気・水道（按分後）,全額計上,事業使用率20〜40%目安
減価償却費,10万円超の備品（年単位で按分）,10万円未満（消耗品費に分類）,法定耐用年数を要確認（PC4年等）
研修費,セミナー・オンライン講座・書籍研修,趣味の習い事,業務スキル向上目的に限る
車両費,事業用ガソリン・駐車場・整備代,プライベート使用分,走行距離記録で按分
租税公課,印紙代・固定資産税・自動車税,所得税・住民税（事業の経費にならない）,事業に関連するもののみ
雑費,どの科目にも該当しない少額,高額・恒常的なもの,全体の経費の5%以内が目安
