No,カテゴリ,テーマ,使用例・補足
1,自己紹介・基本情報,自己紹介・プロフィール,初回フォロワー向け
2,自己紹介・基本情報,サービス紹介,提供価値を1分で理解できる構成
3,自己紹介・基本情報,価格・プラン紹介,料金表＋費用感の目安
4,自己紹介・基本情報,場所・アクセス紹介,地図画像＋最寄駅
5,自己紹介・基本情報,営業時間・定休日,固定投稿に最適
6,信頼構築,お客様の声・実績,引用形式で第三者性を出す
7,信頼構築,よくある質問（FAQ）,Q&A 1問1投稿で連投も可
8,信頼構築,ビフォーアフター,写真2枚比較
9,信頼構築,受賞歴・メディア掲載,根拠リンクを添える
10,信頼構築,数字で見る実績,「〇年・〇人・〇件」
11,信頼構築,専門資格・経歴紹介,信頼性ブースト
12,信頼構築,第三者からの推薦・口コミ,スクショや引用
13,ノウハウ・教育,業界の豆知識,小ネタ系で連投しやすい
14,ノウハウ・教育,よくある誤解・注意点,「実は…」型
15,ノウハウ・教育,失敗談・学び,共感を呼ぶ
16,ノウハウ・教育,〇〇の選び方,商品/サービス選定基準
17,ノウハウ・教育,使い方・お手入れ方法,動画と相性◎
18,ノウハウ・教育,初心者向け基礎知識,1から教える系
19,ノウハウ・教育,プロの裏ワザ・コツ,保存されやすい
20,ノウハウ・教育,用語解説（業界用語をやさしく）,辞書型シリーズ化可能
21,日常・人柄,日常の一コマ,軽めの近況
22,日常・人柄,スタッフ紹介,人柄が伝わる
23,日常・人柄,仕事道具・お気に入りアイテム,職人気質を演出
24,日常・人柄,休日の過ごし方,親近感アップ
25,日常・人柄,仕事への想い・きっかけ,共感ストーリー
26,日常・人柄,趣味・プライベートな一面,フォロワーとの距離を縮める
27,日常・人柄,失敗エピソード（笑い話）,リアル感を出す
28,日常・人柄,朝のルーティン・1日の流れ,動画相性◎
29,お役立ち情報,おすすめツール・サービス,アフィリエイトとも相性◎
30,お役立ち情報,参考書籍・記事の紹介,知見の共有
31,お役立ち情報,業界ニュース・トレンド,コメント付きで解説
32,お役立ち情報,質問への回答（QA形式）,フォロワー巻き込み型
33,お役立ち情報,チェックリスト・テンプレ配布,保存・シェア率が高い
34,お役立ち情報,比較記事（A vs B）,意思決定支援
35,お役立ち情報,ランキング形式の紹介,「私的ベスト3」など
36,季節・イベント,季節・イベントネタ（春夏秋冬）,ハッシュタグ強化
37,季節・イベント,祝日・記念日にちなんだ投稿,事前カレンダーに組み込み
38,季節・イベント,年末年始の挨拶・抱負,1年に2回必ず
39,季節・イベント,季節限定キャンペーン告知,集客に直結
40,季節・イベント,季節の装い・模様替え,写真映えする
41,季節・イベント,季節の食材・旬の話題,飲食系特に有効
42,季節・イベント,季節の悩み・対策（梅雨・花粉等）,共感型お役立ち
43,プロモーション,新サービス・新商品告知,ローンチ時の主役
44,プロモーション,期間限定キャンペーン,緊急性で動かす
45,プロモーション,予約・申込開始のお知らせ,期日明示
46,プロモーション,残席・在庫わずかのお知らせ,FOMO訴求
47,プロモーション,クーポン・特典配布,コード付き
48,プロモーション,紹介キャンペーン告知,リファラル獲得
49,プロモーション,メルマガ・LINE登録誘導,リスト構築
50,プロモーション,リピーター向け感謝企画,LTV向上
