日付,曜日,媒体,テーマ・ネタ,投稿文（下書き）,ハッシュタグ,画像有無,投稿済み,いいね数,備考
2026-05-01,金,Instagram,自己紹介・プロフィール,,,☐,☐,,
2026-05-02,土,X,業界の豆知識,,,☐,☐,,
2026-05-03,日,Facebook,お客様の声・実績,,,☐,☐,,
2026-05-04,月,Instagram,サービス紹介,,,☐,☐,,
2026-05-05,火,X,よくある質問（FAQ）,,,☐,☐,,
2026-05-06,水,Instagram,スタッフ紹介,,,☐,☐,,
2026-05-07,木,X,業界の豆知識,,,☐,☐,,
2026-05-08,金,Instagram,新サービス・新商品告知,,,☐,☐,,
2026-05-09,土,X,日常の一コマ,,,☐,☐,,
2026-05-10,日,Facebook,数字で見る実績,,,☐,☐,,
2026-05-11,月,Instagram,ノウハウ・選び方,,,☐,☐,,
2026-05-12,火,X,業界の豆知識,,,☐,☐,,
2026-05-13,水,Instagram,お客様の声,,,☐,☐,,
2026-05-14,木,X,よくある誤解・注意点,,,☐,☐,,
2026-05-15,金,Instagram,期間限定キャンペーン,,,☐,☐,,
2026-05-16,土,X,日常の一コマ,,,☐,☐,,
2026-05-17,日,Facebook,スタッフ紹介,,,☐,☐,,
2026-05-18,月,Instagram,プロの裏ワザ・コツ,,,☐,☐,,
2026-05-19,火,X,業界の豆知識,,,☐,☐,,
2026-05-20,水,Instagram,比較記事（A vs B）,,,☐,☐,,
2026-05-21,木,X,よくある質問（FAQ）,,,☐,☐,,
2026-05-22,金,Instagram,新サービス告知,,,☐,☐,,
2026-05-23,土,X,失敗談・学び,,,☐,☐,,
2026-05-24,日,Facebook,お客様の声,,,☐,☐,,
2026-05-25,月,Instagram,業界ニュース・トレンド,,,☐,☐,,
2026-05-26,火,X,業界の豆知識,,,☐,☐,,
2026-05-27,水,Instagram,チェックリスト・テンプレ配布,,,☐,☐,,
2026-05-28,木,X,QA形式,,,☐,☐,,
2026-05-29,金,Instagram,予約・申込開始のお知らせ,,,☐,☐,,
2026-05-30,土,X,日常の一コマ,,,☐,☐,,
2026-05-31,日,Facebook,リピーター向け感謝企画,,,☐,☐,,
